%time,field.destination_id0,field.destination_id1,field.destination_id2,field.destination_id3,field.destination_id4,field.destination_id5,field.destination_id6,field.destination_id7,field.destination_id8,field.destination_id9,field.distance0,field.stamp0,field.stamp1,field.stamp2
644505000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34686.3437567,644505000000,644505000000,644505000000
644606000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34601.1898755,644606000000,644606000000,644606000000
644706000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35056.2649252,644706000000,644706000000,644706000000
644806000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34765.4924284,644806000000,644806000000,644806000000
644906000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34874.5255912,644906000000,644906000000,644906000000
645007000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35144.9218389,645007000000,645007000000,645007000000
645107000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34999.6799739,645107000000,645107000000,645107000000
645207000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35270.246754,645207000000,645207000000,645207000000
645308000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35124.1485197,645307000000,645307000000,645307000000
645408000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34999.688729,645408000000,645408000000,645408000000
645508000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35092.6383253,645508000000,645508000000,645508000000
645609000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34720.6155268,645608000000,645608000000,645608000000
645709000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34747.9220028,645709000000,645709000000,645709000000
645809000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34895.4545236,645809000000,645809000000,645809000000
645909000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34747.7054242,645909000000,645909000000,645909000000
646010000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34501.2375231,646009000000,646009000000,646009000000
646110000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34962.9666397,646110000000,646110000000,646110000000
646210000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34939.3700595,646209000000,646209000000,646209000000
646311000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35089.7145218,646310000000,646310000000,646310000000
646411000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34911.6691667,646411000000,646411000000,646411000000
646512000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34876.2615428,646511000000,646511000000,646511000000
646612000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35075.9631876,646612000000,646612000000,646612000000
646712000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35255.5829852,646712000000,646712000000,646712000000
646813000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34786.4550261,646812000000,646812000000,646812000000
646913000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35355.4818153,646912000000,646912000000,646912000000
